speedKMH,currentTime,throttle,brake,clutch
0.002,0:21:831,0,0,1
0.002,0:21:837,0,0,1
0.002,0:21:852,0,0,1
0.002,0:21:858,0,0,1
0.002,0:21:873,0,0,1
0.002,0:21:879,0,0,1
0.002,0:21:885,0,0,1
0.002,0:21:900,0,0,1
0.002,0:21:906,0,0,1
0.002,0:21:918,0,0,1
0.002,0:21:927,0,0,1
0.002,0:21:939,0,0,1
0.002,0:21:951,0,0,1
0.002,0:21:960,0,0,1
0.002,0:21:972,0,0,1
0.002,0:21:978,0,0,1
0.002,0:21:993,0,0,1
0.002,0:21:999,0,0,1
0.002,0:22:011,0,0,1
0.002,0:22:017,0,0,1
0.002,0:22:032,0,0,1
0.002,0:22:038,0,0,1
0.002,0:22:050,0,0,1
0.002,0:22:056,0,0,1
0.002,0:22:071,0,0,1
0.002,0:22:077,0,0,1
0.002,0:22:089,0,0,1
0.002,0:22:101,0,0,1
0.002,0:22:107,0,0,1
0.002,0:22:122,0,0,1
0.002,0:22:128,0,0,1
0.002,0:22:140,0,0,1
0.002,0:22:146,0,0,1
0.002,0:22:161,0,0,1
0.002,0:22:167,0,0,1
0.002,0:22:179,0,0,1
0.002,0:22:185,0,0,1
0.002,0:22:200,0,0,1
0.002,0:22:206,0,0,1
0.002,0:22:218,0,0,1
0.002,0:22:230,0,0,1
0.002,0:22:239,0,0,1
0.002,0:22:251,0,0,1
0.002,0:22:257,0,0,1
0.002,0:22:269,0,0,1
0.002,0:22:275,0,0,1
0.002,0:22:290,0,0,1
0.002,0:22:302,0,0,1
0.002,0:22:308,0,0,1
0.002,0:22:320,0,0,1
0.002,0:22:329,0,0,1
0.002,0:22:341,0,0,1
0.002,0:22:347,0,0,1
0.002,0:22:359,0,0,1
0.002,0:22:365,0,0,1
0.002,0:22:380,0,0,1
0.002,0:22:392,0,0,1
0.002,0:22:398,0,0,1
0.002,0:22:404,0,0,1
0.002,0:22:419,0,0,1
0.002,0:22:431,0,0,1
0.002,0:22:437,0,0,1
0.002,0:22:452,0,0,1
0.002,0:22:458,0,0,1
0.002,0:22:470,0.037,0,1
0.002,0:22:476,0.087,0,1
0.002,0:22:488,0.147,0,1
0.002,0:22:503,0.19,0,1
0.002,0:22:509,0.212,0,1
0.002,0:22:521,0.271,0,1
0.002,0:22:527,0.308,0,1
0.002,0:22:539,0.358,0,1
0.002,0:22:548,0.39,0,1
