graphicsPacketID,status,session,currentTime,lastTime,bestTime,split,completedLaps,position,iCurrentTime,iLastTime,iBestTime,sessionTimeLeft,distanceTraveled,isInPit,currentSectorIndex,lastSectorTime,numLaps,tireCompound,replayTimeMultiplier,normalizedCarPosition,coordinatesX,coordinatesY,coordinatesZ,penaltyTime,flag,idealLineOn,isInPitLane,surfaceGrip,mandatoryPitDone,windSpeed,windDirection,physicsPacketID,throttle,brake,fuel,gear,RPM,steeringAngle,speedKMH,velocityX,velocityY,velocityZ,accGX,accGY,accGZ,wheelSlipFL,wheelSlipFR,wheelSlipRL,wheelSlipRR,wheelLoadFL,wheelLoadFR,wheelLoadRL,wheelLoadRR,wheelPressureFL,wheelPressureFR,wheelPressureRL,wheelPressureRR,wheelAngularSpeedFL,wheelAngularSpeedFR,wheelAngularSpeedRL,wheelAngularSpeedRR,tireWearFL,tireWearFR,tireWearRL,tireWearRR,tireDirtyLevelFL,tireDirtyLevelFR,tireDirtyLevelRL,tireDirtyLevelRR,tireCoreTempFL,tireCoreTempFR,tireCoreTempRL,tireCoreTempRR,camberRADFL,camberRADFR,camberRADRL,camberRADRR,suspTravelFL,suspTravelFR,suspTravelRL,suspTravelRR,drs,tc,heading,pitch,roll,cgHeight,carDmgArea1,carDmgArea2,carDmgArea3,carDmgArea4,carDmgArea5,numTiresOut,pitLimiterOn,abs,kersCharge,kersInput,autoShifterOn,rideHeightFront,rideHeightBack,turboBoost,ballast,airDensity,airTemp,roadTemp,localAngularVelocityX,localAngularVelocityY,localAngularVelocityZ,finalForceFeedback,performanceMeter,engineBrake,ersRecoveryLevel,ersPowerLevel,ersHeatCharging,ersIsCharging,kersCurrentKJ,drsAvailable,drsEnabled,brakeTempFL,brakeTempFR,brakeTempRL,brakeTempRR,clutch,tireTempInnerFL,tireTempInnerFR,tireTempInnerRL,tireTempInnerRR,tireTempMiddleFL,tireTempMiddleFR,tireTempMiddleRL,tireTempMiddleRR,tireTempOuterFL,tireTempOuterFR,tireTempOuterRL,tireTempOuterRR,AIControlled,tireContactPointFLX,tireContactPointFLY,tireContactPointFLZ,tireContactPointFRX,tireContactPointFRY,tireContactPointFRZ,tireContactPointRLX,tireContactPointRLY,tireContactPointRLZ,tireContactPointRRX,tireContactPointRRY,tireContactPointRRZ,tireContactNormalFLX,tireContactNormalFLY,tireContactNormalFLZ,tireContactNormalFRX,tireContactNormalFRY,tireContactNormalFRZ,tireContactNormalRLX,tireContactNormalRLY,tireContactNormalRLZ,tireContactNormalRRX,tireContactNormalRRY,tireContactNormalRRZ,tireContactHeadingFLX,tireContactHeadingFLY,tireContactHeadingFLZ,tireContactHeadingFRX,tireContactHeadingFRY,tireContactHeadingFRZ,tireContactHeadingRLX,tireContactHeadingRLY,tireContactHeadingRLZ,tireContactHeadingRRX,tireContactHeadingRRY,tireContactHeadingRRZ,brakeBias,localVelocityX,localVelocityY,localVelocityZ,smVersion,acVersion,numSessions,numCars,carName,trackName,playerFName,playerLName,playerNickname,numSectors,maxTorque,maxPower,maxRPM,maxFuel,maxSuspensionTravelFL,maxSuspensionTravelFR,maxSuspensionTravelRL,maxSuspensionTravelRR,tireRadiusFL,tireRadiusFR,tireRadiusRL,tireRadiusRR,maxTurboBoost,deprecated1,deprecated2,penaltiesEnabled,fuelConsumptionRate,tireWearRate,damageRate,allowTireBlankets,stabilityControl,autoClutch,autoBlip,hasDRS,hasERS,hasKERS,maxJoulesKERS,engineBrakeSettingsCount,ERSPowerControllerCount,trackSplineLength,trackConfiguration,maxJoulesERS,isTimedRace,hasExtraLap,carSkin,reversedGridPositions,pitWindowStart,pitWindowEnd,sessionTime
2361,AC_LIVE,AC_PRACTICE,0:11:370,-:--:---,-:--:---, ,0,1,11370,0,0,-15344.33,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3489,0,0,50,0,3701,0.016,0,0,0,0,0,0,0,0.072,0.068,0.034,0.048,1678.062,2101.479,2497.44,1997.018,17,17,15,15,0,0.001,-0.005,0.007,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.143,25.988,25.992,26.044,26.035,26.126,25.986,26.143,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,0
2363,AC_LIVE,AC_PRACTICE,0:11:376,-:--:---,-:--:---, ,0,1,11376,0,0,-15352.257,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3493,0,0,50,0,3701,0.016,0.002,0,0,0,0,0,0,0.072,0.069,0.034,0.047,1679.104,2104.048,2496.474,1998.168,17,17,15,15,0.001,0.001,-0.005,0.007,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.001,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,10
2365,AC_LIVE,AC_PRACTICE,0:11:385,-:--:---,-:--:---, ,0,1,11385,0,0,-15359.966,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3496,0,0,50,0,3701,0.016,0.001,0,0,0,0,0,0,0.072,0.068,0.034,0.048,1677.288,2102.983,2495.307,1994.98,17,17,15,15,0.001,0.001,0.007,-0.005,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.001,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,20
2369,AC_LIVE,AC_PRACTICE,0:11:400,-:--:---,-:--:---, ,0,1,11400,0,0,-15375.374,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3500,0,0,50,0,3701,0.016,0,0,0,0,0,0,0,0.072,0.069,0.034,0.047,1678.152,2104.083,2495.449,1998.025,17,17,15,15,0,0.001,0.006,-0.005,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,30
2371,AC_LIVE,AC_PRACTICE,0:11:406,-:--:---,-:--:---, ,0,1,11406,0,0,-15383.149,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3503,0,0,50,0,3701,0.016,0.001,0,0,0,0,0,0,0.072,0.069,0.034,0.048,1677.269,2103.862,2498.504,1995.885,17,17,15,15,0.001,0.001,-0.005,0.007,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,40
2373,AC_LIVE,AC_PRACTICE,0:11:415,-:--:---,-:--:---, ,0,1,11415,0,0,-15390.957,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3506,0,0,50,0,3701,0.016,0.002,0,0,0,0,0,0,0.072,0.069,0.034,0.047,1678.134,2100.722,2497.304,1996.036,17,17,15,15,0.001,0.001,0.007,-0.005,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.122,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,50
2377,AC_LIVE,AC_PRACTICE,0:11:430,-:--:---,-:--:---, ,0,1,11430,0,0,-15406.507,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3510,0,0,50,0,3701,0.016,0.002,0,0,0,0,0,0,0.071,0.069,0.034,0.047,1679.768,2101.395,2497.404,1997.14,17,17,15,15,0.001,0,0.007,-0.005,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.123,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,60
2379,AC_LIVE,AC_PRACTICE,0:11:439,-:--:---,-:--:---, ,0,1,11439,0,0,-15413.957,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3513,0,0,50,0,3701,0.016,0.001,0,0,0,0,0,0,0.072,0.068,0.033,0.048,1679.753,2104.039,2498.522,1996.216,17,17,15,15,0,0.001,-0.005,0.007,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.001,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.123,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,70
2381,AC_LIVE,AC_PRACTICE,0:11:445,-:--:---,-:--:---, ,0,1,11445,0,0,-15421.979,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3516,0,0,50,0,3701,0.016,0.001,0,0,0,0,0,0,0.072,0.069,0.034,0.048,1678.081,2101.19,2496.408,1996.045,17,17,15,15,0.001,0.001,0.006,-0.005,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.123,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,80
2383,AC_LIVE,AC_PRACTICE,0:11:454,-:--:---,-:--:---, ,0,1,11454,0,0,-15429.573,0.004,1,0,0,0,Soft (C3),1,0.062,-27.017,61.226,-450.975,0,AC_NO_FLAG,false,true,1,false,0,-180,3519,0,0,50,0,3701,0.016,0,0,0,0,0,0,0,0.071,0.069,0.034,0.047,1679.797,2101.352,2497.459,1997.079,17,17,15,15,0.001,0,-0.005,0.006,100,100,100,100,0,0,0,0,26.002,26.002,26.003,26.002,-0.057,0.051,-0.021,0.027,0.104,0.106,0.049,0.046,0,0,0,-0.011,0.023,0.27,0,0,0,0,0,0,false,0,1,0,true,0.033,0.059,0,0,1.099,26,23,0,0,0,0.002,0,6,5,3,1,false,0,true,false,25.996,25.996,26.025,26.025,1,25.984,26.123,26.075,26.144,25.988,25.992,26.044,26.035,26.127,25.986,26.144,26.055,false,-26.249,60.913,-449.017,-27.808,60.953,-449.018,-26.266,60.96,-452.613,-27.765,60.99,-452.613,0.026,1,0.013,0.026,1,0.013,0.02,1,0.004,0.02,1,0.004,0.004,0.013,-1,0.008,0.013,-1,0.003,0.004,-1,-0.003,0.005,-1,0.53,0,0,0,1.7,1.16.4,1,1,rss_formula_hybrid_2023,ks_nurburgring,rangarajanpraneeth,rangarajanpraneeth,rangarajanpraneeth,3,239.313,573674.625,13050,148,0.15,0.15,0.15,0.15,0.363,0.363,0.363,0.363,1.6,0,0,false,1,0,0,false,0,true,false,true,true,false,0,11,6,5077.904,layout_gp_a,4000000,false,false,rb20_1_verstappen,0,0,0,90
